R.N,CALL NO.,AUTHOR,TITLE,COPY RIGHT,LOCATION,
29,230.25 P612,"Aloysius Pieris, S.J.",FIRE & WATER : BASIC ISSUES IN Asian Buddhism and Christianity,1996,THEOLOGY,
52,227.2077G335,"Mary Ann Getty, R.S.M.","FIRST CORINTHIANS, SECOND CORINTHIANS",1983,BIBLICAL STUDIES,
19,262.9F519,,FIRST ENCYCLICAL LETTER REDEMPTOR HOMINIS,1979,PAPAL COLLECTION,
57,248.892F847,,FIRST FRIDAY HOLY HOUR FOR THE SANCTIFICATION OF PRIESTS ( English & Tagalog versions),n.d.,Filipiniana,
288,242Sm511,"Francis J. Smith, S.J.",FIRST PRELUDE,,SPIRITUALITY,
281,262.092F519,,First Provincial Council of the Ecclesiastical Province of Cebu December 5-8 1967 Cebu Metropolitan Cathedral Cebu City Philippines,n.d.,Filipiniana,
759,242B664fc.1,"H. Pinard de Boullaye, S.J.","FIRST RETREAT OF H PINARD DE LA BOULLAYE, S.J.",,SPIRITUALITY,
760,242B664fc.2,"H. Pinard de Boullaye, S.J.","FIRST RETREAT OF H PINARD DE LA BOULLAYE, S.J.",,SPIRITUALITY,
761,242B664fc.3,"H. Pinard de Boullaye, S.J.","FIRST RETREAT OF H PINARD DE LA BOULLAYE, S.J.",1963,SPIRITUALITY,
762,242B664fc.4,"H. Pinard de Boullaye, S.J.","FIRST RETREAT OF H PINARD DE LA BOULLAYE, S.J.",1993,SPIRITUALITY,
763,242B664fc.5,"H. Pinard de Boullaye, S.J.","FIRST RETREAT OF H PINARD DE LA BOULLAYE, S.J.",1963,SPIRITUALITY,
764,242B664fc.6,"H. Pinard de Boullaye, S.J.","FIRST RETREAT OF H PINARD DE LA BOULLAYE, S.J.",1963,SPIRITUALITY,
605,250.95F586,,FIVE CONVERSATIONS ON ASIAN RELIGIOUS ,1976,Filipiniana,
123,252.3T615,Msgr. Arthur Tonne,"FIVE MINUTE HOMILIES ON THE GOSPELS OF CYCLES A,B,C",1977,THEOLOGY,
85,892.21D370,"Horacio de la Costa, S.J.",FIVE PLAYS,1982,FILIPIANA (LIBRARY 2),
72,390.095995F718,,FOL CULTURE OF THE CENTRAL VISAYAS,1986,FILIPIANA (LIBRARY 2),
86,248.482V318,Jean Vanier,FOLLOWERS OF JESUS,1984,SPIRITUALITY,
191,248.2G135,Judette A. Gallares,Following God's Call : scripture meditations for vocation discernment,1990,Filipiniana,
192,248.2G135,Judette A. Gallares,Following God's Call : scripture meditations for vocation discernment,1990,Filipiniana,
636,248.3B465,"Antonio Betancor, S.J.",FOLLOWING IN THE WAY OF THE PILGRIM,1990,SPIRITUALITY,
8,248.4G133c.1,Segundo Galilea,FOLLOWING JESUS,1983,Filipiniana,
9,248.4G133c.2,Segundo Galilea,Following Jesus,1981,Filipiniana,
697,248.8F727, ,FOLLOW-UP ON GENREAL CONGREGATION XXXII,,SPIRITUALITY,
248,262.1F740,,FOR ALL THE PEOPLES OF ASIA The Church in Asia: Asian Bishops' Statements on Mission Community and Ministry 1970-1983 Volume One: Texts and Documents,1984,Filipiniana,
489,248.2F740,,FOR FAITH AND SERVICE TOWARDS THE INTEGRAL FORMATION OF FILIPINO PRIESTS AND RELIGIOUS,1985,Filipiniana,
,,"Foomas G. Glarke, S.J",FOR THE GREATER GLORY : Jesuit,,,
361,271.97R319,JAMES B. REUTER S.J.,FOR THE YOUNG AT HEART : highlights from the history of the Sisters of Saint Paul De Chartres,1965,Filipiniana,
292,248.2019G892,Benedict J. Groeschel,FOR THOSE WHO SEEK SPIRITUAL PASSAGES: The psychology of Spirituality Development,1992,SPIRITUALITY,
448,242F740,,"FOR YOU, O GOD : A book of prayer",1998,SPIRITUALITY,
13,910.45F764,"Fr. Francis X. Hezel, S.J.",FOREIGN SHIPS IN MICRONESIA,1979,FILIPIANA (LIBRARY 2),
32,499.2215T754,Mimi B. Trosdal,FORMAL-FUNCTIONAL GRAMMAR OF THE CEBUANO LANGUAGE WITH A FUNCTIONALLY LABELLED ENGLISH-CEBUANO VOCABULARY,1992,FILIPIANA (LIBRARY 2),
230,,,"FORMATION OF THE LAITY THROUGH IGNATIAN SPIRITUALITY vol.17,no.51",1986,PERIODICAL,
229,,,"FORMATION OF THE LAITY THROUGH IGNATIAN SPIRITUALITY vol.17,no.52 - 53",1986,PERIODICAL,
403,291.1G683,"Vitaliano R. Gorospe, S.J.",Forming the Filipnio Social Conscience : social theology from a filipino christian perspective,1997,Filipiniana,
2,,Jean -Thierry Le Bougnec,FORUM : Method De Français 3,1957,SPECIAL COLLECTION LIB 2,
3,,Annie Berthet,FORUM : Method De Français 3,2002,SPECIAL COLLECTION LIB 2,
902,248M478,,FOUNDATIONS,1994,SPIRITUALITY,
270,230.2R129,Karl Rahner,Foundations of Christian Faith: An Introduction to the Idea of Christianity,1978,THEOLOGY,
50,821.912E144,T.S Elliot,FOUR QUARTERS,1943,REFERENCE (Library 2),
75,301.2109599F825,"Frank Lynch , compiler",FOUR READINGS ON PHILIPPINE VALUES,1968,FILIPIANA (LIBRARY 2),
481,242.34F825,,FOUR WEEKS OF ADVENT,,SPIRITUALITY,
104,282.092F828,,Fourth Centennial of the Christianization of the Philippines,1965,Filipiniana,
86,282.0924Sch868 v.4,"George Schurhammer, S. J","FRANCIS XAVIER :HIS LIFE , HIS TIMES VOLUME IV",1982,General Reference,
89,282.0924Sch868 v.1,"George Schurhammer, S. J","FRANCIS XAVIER :HIS LIFE ,HIS TIMES VOLUME |",1973,General Reference,
88,282.0924Sch868 v.2,"George Schurhammer, S. J","FRANCIS XAVIER :HIS LIFE ,HIS TIMES VOLUME ||",1977,General Reference,
87,282.0924Sch868 v.3,"George Schurhammer, S. J","FRANCIS XAVIER :HIS LIFE ,HIS TIMES VOLUME |||",1980,General Reference,
833,271.302B632,Murray Bado,FRANCIS: The journey and the dream,1988,SPIRITUALITY,
58,261F865,,FRATELLI TUTTI ENCYCLICAL :  LETTER OF THE HOLY FATHER FRANCIS ON FRATERNITY AND SOCIAL FRIENDSHIP,2020,PAPAL COLLECTION,
81,150.1952G25,Peter Gay,FREUD : A life for our time,1984,REFERENCE (Library 2),
307,271.53092F915,HORACIO DE LA COSTA S.J.,FRIEND OF THE LORD : a small collection of reflections on being Jesuit and being Filipino,1997,Filipiniana,
309,248.3M366,"C.C. Martindale, S.J.",FROM BYE-WAYS AND HEDGES,1935,SPIRITUALITY,
665,248.2G767,"W. Harold Grant, Magdala Thompson, Thomas E. Clarke",FROM IMAGE TO LIKENESS : A jungian pathin the gospel journey,1983,SPIRITUALITY,
72,264 W168,"Eugene A. Walsh, S.S.",FROM RUBRICS TO RITUAL: CELEBRATING THE DIFFERENCE!,1988,THEOLOGY,
65,255F925,,From Seduction To Mission : An Asian Commentary to Consecrated Life,1997,Filipiniana,
603,271.53092L773,Joanna Selina N. Llorin,"FROM THE BRONX TO BICOL : The presence of Fr.Jack Phelan, S.J",2002,Filipiniana,
103,899.211Ar38,"Fr. Guido F. Arguelles, S.J.",From the Depths…,n.d.,Filipiniana,
582,231.2B12,Bishop Teodoro C. Bacani,From Yaweh to the trinity,n.d.,Filipiniana,
205,266.2 P134,Frank Padilla,Fulfilling the Mandate: the work of authentic evangelization,2004,Filipiniana,
63,230.2 C439c.1,Richard Chilson,FULL CHRISTIANITY : a catholic response to fundamental questions,1985,THEOLOGY,
64,230.2 C439c.2,Richard Chilson,FULL CHRISTIANITY : a catholic response to fundamental questions,1985,THEOLOGY,
214,248.4G283,"Donald L. Gelpi, S.J.",FUNCTIONAL ASCETICISM : a guideline for American Religious,1966,THEOLOGY,
387,248.844C314,"John R. Cavanach, M.D",FUNDAMENTAL MARRIAG COUNSELING  : A catholic viewpoint,1963,SPIRITUALITY,
338,269.2F172c.1,B E C,FVFIS… SEMINAR WORKSHOP for Basic Ecclessial Communities,n.d.,Filipiniana,
339,269.2F172c.2,B E C,FVFIS… SEMINAR WORKSHOP for Basic Ecclessial Communities,n.d.,Filipiniana,
23,SP2016-2017,,GALILEANS 2016-2017,2016-2017,VERTICAL FILE,
480,234.52Al 16,MONS. PAT ALCAZAREN,GAMAYNG ABYAN SA PARI,1997,Filipiniana,
413,271.5302Ec41,"J. Echaniz, S.J.",GARATE THE GENTLE,1986,SPIRITUALITY,
415,242.2G224,,GATHERED AROUND JESUS : proceedings of the consultation congress on seminary formation and the diamond jubilee alumni homecoming,2004,Filipiniana,
192,282.092G286c.1,,GC 32 SJ,1976,SPIRITUALITY,
193,282.092G286c.2,,GC 32 SJ,1976,SPIRITUALITY,
103,248.3En631,"John English, S.J",GCHOOISNG LIFE,1978,SPIRITUALITY,
248,271.53G286, ,General Examination Summary of Bulls,1951,THEOLOGY,
117,264G286,,GENERAL INSTRUCTION OF THE ROMAN MISSAL ( Liturgy Documentary series 2 ),2002,THEOLOGY,
613,268.4G286,,GENERAL PRINCIPLES OF THE CHRISTIAN LIFE COMMUNITY,1990,Filipiniana,
85,616.5042Sy14,Virginia P. Sybert,GENETIC SKIN DISORDERS,1997,GEN-REF2,
506,248.22G335,,Getting Acquainted with ST. JOHN OF THE CROSS ( San Juan de la Cruz ),1991,Filipiniana,
72,928.2w210, Maisie Ward,GILBERT KEITH CHESTERTON,1943,REFERENCE (Library 2),
68,891.4414T129,Rabindranath Tagore,GITANJALI (Song offerings),1926,REFERENCE (Library 2),
370,234.5K295,"Robert Kelly, S.J.",GIVE GOD A CHANCE : How to let God take charge of your life (marked copy),1993,SPIRITUALITY,
37,610.924G135,Teresa Gallagher,GIVE JOY TO MY MOUTH,1965,REFERENCE (Library 2),
439,242.2G449,,GIYA SA PAGSAULOG SA HOME RETREAT,n.d.,Filipiniana,
121,  248.4M366,CARLO M. MARTINI,GLI ESERCIZI IGNAZIANI ALLA LUCE DI S. GIOVANNI,1977,SPECIAL COLLECTION,
55,248.4M366,P. CARLO M. MARTINI,GLI ESERCIZI IGNAZIANI ALLA LUCE DI S. MATTEO,,SPECIAL COLLECTION,
117, 248.4G49,LUIS M. ET AL.,GLI ESERCIZI IGNAZIANI E LA BIBBIA,1979,SPECIAL COLLECTION,
128,  248.4G49,LUIS M. ET AL.,GLI ESERCIZI IGNAZIANI E LA BIBBIA,1979,SPECIAL COLLECTION,
250,220Ar38,"Fr. Guido F. Arguelles, S.J.",Glimpses of life: Glory or Tragedy?,n.d.,Filipiniana,
532,232Al141,"Rev. James Alberione, S.S.P., S.T.D.",GLORIES AND VIRTUES OF MARY,1982,SPIRITUALITY,
519,242.2Q416,"Jose V. Quilongquilong, S.J.",Glorify God in your Body: A Guide to Body Prayer,1990,Filipiniana,
188,248.32B279,"William A. Barry, S.J.",GOD AND YOU : PRAYERS AS A PERSONAL RELATIONSHIP,1987,SPIRITUALITY,
120,248.4W151,David Walker,GOD IS A SEA : the dynamics of christian living,1977,Filipiniana,
211,248.8C130,Callahan & McDonnell,GOD IS CLOSE TO THE BROKENHEARTED : good news for those who are depressed,1999,Filipiniana,
556,242Su531,"Mother Kathryn Sullivan, R.S.C.J.",GOD IS FAITHFUL,1963,SPIRITUALITY,
846,291.44C145,Julia Cameron,GOD IS NO LAUGHING MATTER : Observations and objections on the spiritual path,1978,SPIRITUALITY,
633,291.43Ea797,Eknath Easwaran,GOD MAKES THE RIVERS TO FLOW : Passages for meditation,1982,SPIRITUALITY,
513,291.211G830,"Barbara Greene, Victor Gollancz",GOD OF A HUNDRED NAMES : Prayer of many people & creeds collected ,1962,SPIRITUALITY,
724,248.4H874,Gerard W. Hughes,GOD OF SURPRISES,1985,SPIRITUALITY,
163,261.57Sp331,William David Spencer & Aida Besancon Spencer,God through the looking glass : glimpses from the arts,1998,THEOLOGY,
802,242P745,"Raoul Plus, S.J.",GOD WITHIN US,1924,SPIRITUALITY,
527,261.8P286,"Louis Paulussen, S.J.",God Works Like That: Origins of the Christian Life Community,,SPIRITUALITY,
836,291.43D717,"James F. Donelan, S.J.",GOD'S CROOKED LINES THE SEARCH FOR TRUTH,1998,SPIRITUALITY,
156,252D717,"James F. Donelan, S.J.",GOD'S CROOKED LINES: THE SEARCH FOR TRUTH,1998,THEOLOGY,
684,231.6M297,"George A. Maloney, S.J.",GOD'S INCREDIBLE MERCY ,1989,SPIRITUALITY,
,,"Lo. English , G.J",GODS LOVE,,BOOKLET,
23,N548,Adam Nicolson,GOD'S SECRETARIES: THE MAKING OF THE KING JAMES BIBLE,2003,FICTION,
540,220.6G54,,GOD'S WORD: LIVING HOPE AND LASTING PEACE 4th asia-oceania biblical congress,2005,Filipiniana,
4,SP2002,,"GOLDEN JUBILEE (1952-2002) AND PARISH FIESTA JUNE 7,2002 : In the service of chinese and filipino catholic",2002,VERTICAL FILE,
152,784.17H997,,GOSPEL : HYMNS FOR UKULELE,,General Reference,
237,261.8M815,"Juan Ramon Moreno, SJ",GOSPEL AND MISSION : Spirituality and the Poor,1995,Filipiniana,
75,226.1G694,,GOSPEL PARALLELS : a synopsis of the first three gospels with alternative readings from the manuscripts and noncanonical parallels,1973,BIBLICAL STUDIES,
23,248.2Ai98,Jerome Aixala S.J.,GOSPEL SILHOUETTES : sketches of persons that moved around Jesus,1982,SPIRITUALITY,
25,242.643M961,Lorraine V. Murray,GRACE NOTES : embracing the joy ofchrist in a broken world,2002,SPIRITUALITY,
239,282.0924N856,Henri J.M. Nouwen,GRACIAS,1983,SPIRITUALITY,
11,Si531,Simon,GRAHAM GREENE THE TENTH MAN,1985,FICTION,
5,,Michael Boulares,GRAMMAIRE : Progressive Du Français avec 400 exercises.,1997,SPECIAL COLLECTION LIB 2,
25,,Michael Boulares,GRAMMAIRE : Progressive Du Français avec 400 exercises.,1997,SPECIAL COLLECTION LIB 2,
70,725.090511G789,,GREAT BUILDINGS OF THE WORLD,2004,GEN-REF2,
147,221.922082G789,,GREAT WOMEN OF THE BIBLE : IN ART AND LITERATURE,1994,General Reference,
409,253.53D744,Rose Mary Dougherty ,GROUP OF SPIRITUAL DIRECTION: Community for Discernment,1995,SPIRITUALITY,
382,248.4F988,J.M. FUSTER S.J.,Growing in Christ : a practical method,1983,Filipiniana,
14,248.85D360,Alfons Deeken,GROWING OLD AND HOW TO COPE WITH IT,1972,REFERENCE (Library 2),
199,248.2F112,Frederick William Faber,GROWTH IN HOLINESS OR THE PROGRESS OF THE SPIRITUAL LIFE,1854,SPIRITUALITY,
470,248.482R764c.1,"Francois Roustang, S.J.",GROWTH IN THE SPIRIT : An initiation into the spiritual life on the lines of the Spiritual Exercises ,1966,SPIRITUALITY,
471,248.482R764c.2,"Francois Roustang, S.J.",GROWTH IN THE SPIRIT : An initiation into the spiritual life on the lines of the Spiritual Exercises ,1966,SPIRITUALITY,
16,VP2005,,GUARD AND DEFEND THE CHILDREN OF MARY!,2005,VERTICAL FILE,
114,271K295,"Gerald Kelly, S.J.",GUIDANCE FOR RELIGIOUS,1956,SPIRITUALITY,
3,255 G941,,GUIDE FOR SUPERIORS OF THE SOCIETY OF JESUS,1952,THEOLOGY,
100,282.092G941,,GUIDE TO THE TRAINING OF FUTURE PRIESTS CONCERNING THE INSTRUMENTS OF SOCIAL COMMUNICATION,n.d.,THEOLOGY,
156,253.5G941,,GUIDELINES FOR LOCAL SUPERIORS : GUIDELINES FOR THE RELATIONSHIP BETWEEN THE SUPERIOR AND THE DIRECTOR OF THE WORK,1998,General Reference,
820,248.4M270c.1,"Jose Magana, S.J.",GUIDELINES FOR TOTAL REDEMPTION,,SPIRITUALITY,
821,248.4M270c.2,"Jose Magana, S.J.",GUIDELINES FOR TOTAL REDEMPTION,,SPIRITUALITY,
822,248.4M270c.3,"Jose Magana, S.J.",GUIDELINES FOR TOTAL REDEMPTION,,SPIRITUALITY,
823,248.4M270c.4,"Jose Magana, S.J.",GUIDELINES FOR TOTAL REDEMPTION,,SPIRITUALITY,
95,031.02G948,,GUINNESS WORLD RECORDS 2004 : Hundreds of new record inside,2003,GEN-REF2,
6,D541,Jared Diamond,"GUNS, GERMS, AND STEEL: THE FATES OF HUMAN SOCIETIES",1997-1999,FICTION,
95, 234.3M735,"J.I GONZÁLEZ FAUS, S.J., D. MOLLÁ, S.J.",HAGAMOS REDENCIÓN DEL GÉNERO HUMANO,1997,SPECIAL COLLECTION,
82,291.4H191,"Richard Carlson, editor",HANDBOOK FOR THE SOUL,1995,General Reference,
18,307.6Sa795c.1,Robert L. Sassone,HANDBOOK ON POPULATION SIXTH EDITION,1998,GEN-REF2,
19,307.6Sa795c.2,Robert L. Sassone,HANDBOOK ON POPULATION SIXTH EDITION,1998,GEN-REF2,
20,307.6Sa795c.3,Robert L. Sassone,HANDBOOK ON POPULATION SIXTH EDITION,1998,GEN-REF2,
21,307.6Sa795c.4,Robert L. Sassone,HANDBOOK ON POPULATION SIXTH EDITION,1998,GEN-REF2,
563,226.206T162,Rev. Fr. Gerardo R. Tapiador,Hark the Herald : how the bible tells Us when Jesus was born,2005,Filipiniana,
115,220.7N317,William Neil,Harper's Bible Commentary,1962,BIBLICAL STUDIES,
9,220.3H231,Paul J. Archtemeier,Harper's Bible Dictionary,1985,General Reference,
34,220.3M612,Madeleine S. Miller & J. Lane Miller,Harper's Bible Dictionary,1952,General Reference,
61,220.61H874,Gerald Hughes and Stephen Travis,Harper's Introduction to the Bible,1981,BIBLICAL STUDIES,
62,225.95Y148,Edwin Yamauchi,Harper's World of the New Testament,1981,BIBLICAL STUDIES,
12,,Hueber Verlag,HAUPTKURS AUSGABE 2008,2008,SPECIAL COLLECTION LIB 2,
13,,Hueber Verlag,HAUPTKURS AUSGABE 2008,2008,SPECIAL COLLECTION LIB 2,
75,248.3G157c.4,George E. Ganss S.J.,HE SPIRITUAL EXERCISES OF ST. IGNATIUS A TRANSLATION AND COMMENTARY,1993,SPIRITUALITY,
555,242P871,"John Powell, S.J.",HE TOUCHED ME : My Pilgrimage of prayer,1974,SPIRITUALITY,
368,248.86G223,KAY GATES,HEALING FROM THE INSIDE OUT,n.d.,Filipiniana,
104,248.86L649,Dennis Linn & Matthew Linn,HEALING LIFE'S HURTS HEALING MEMORIES THROUGH THE FIVE STAGES OF FORGIVENESS,1978,SPIRITUALITY,
146,242.2Or18c.1,"Fr. Jerry M. Orbos, SVD",HEALING MOMENTS,2019,Filipiniana,
147,242.2Or18c.2,"Fr. Jerry M. Orbos, SVD",HEALING MOMENTS,2019,Filipiniana,
148,242.2Or18c.3,"Fr. Jerry M. Orbos, SVD",HEALING MOMENTS,2019,Filipiniana,
126,248.86L649,DENNIS AND MATTHEW LINN,HEALING OF MEMORIES,1993,Filipiniana,
620,248.86L649,DENNIS AND MATTHEW LINN,HEALING OF MEMORIES,1993,Filipiniana,
712,243.131Sh696c.1,Barbara Leahy Shlemon,HEALING PRAYER,1976,SPIRITUALITY,
713,243.131Sh696c.2,Barbara Leahy Shlemon,HEALING PRAYER,1976,SPIRITUALITY,
391,248.4L649c.1,"Mary Jane Linn, Dennis Linn, & Matthew Linn",HEALING THE DYING,1979,SPIRITUALITY,
392,248.4L649c.2,"Mary Jane Linn, Dennis Linn, & Matthew Linn",HEALING THE DYING,1979,SPIRITUALITY,
604,261.8L498,"Antonio J. Ledesma, S.J",HEALING THE PAST BUILDING THE FUTURE (Sounding from Mindanao),2005,Filipiniana,
566,248.3M236,Father Francis MacNutt,HEALING THROUGH PRAYER,1974,SPIRITUALITY,
60,615.852B652,Caron Bosler,HEALTHY INSPIRATION MASSAGE,2005,GEN-REF2,
63,Ea83,Evelyn Eaton,HEART IN PILGRIMAGE,1948,FICTION,
41,252G945,"Nil Guillemette, S.J.",HEARTS BURNING: HOMILIES FOR THE SUNDAYS OF THE YEAR,2006,Filipiniana,
136,248.482B328,Ramon Ma. Bautista,Hearts-Burning : the consciousness examen as an authentic Ignatian Formation in discerning love,1990,Filipiniana,
33,438.2B757,Karl Breul,HEATH'S NEW GERMAN-ENGLISH DICTIONARY WITH A PHONETIC KEY TO THE PRONUNCIATION OF THE GERMAN WORDS,1936,GEN-REF2,
611,248.823C355,"John Chambers, S.J.",HELLO AGAIN ZAMBOANGA : Reflection 2000-2003,2004,Filipiniana,
12,148.2P541,Gerald M. Phillips,HELP FOR SHY PEOPLE & ANYONE ELSE WHO EVER FELT ILL AT EASE ON ENTERING A ROOM FULL OF STRANGERS…,1981,REFERENCE (Library 2),
589,253.5D68,E.F. O'Doherty,HELPING THE DISTURBED RELIGIOUS,,SPIRITUALITY,
983,253.5Od51c.1,E. F O'Doherty,HELPING THE DISTURBED RELIGIOUS,,SPIRITUALITY,
984,253.5Od51c.2,E. F O'Doherty,HELPING THE DISTURBED RELIGIOUS,,SPIRITUALITY,
286,248Sa246,"George A. St. Paul, S.J.",HERE AND HEREAFTER,1956,SPIRITUALITY,
816,282.092M264,Fiona Maddocks,HILDEGARD OF BINGEN : The woman of her age,2001,SPIRITUALITY,
287,248.22H542,,HILDEGARD OF BINGEN SCIBAS : The classic of western spirituality,1990,SPIRITUALITY,
69,248.4P773,ROSA MARIA PIQUER I POMÉS,HILDEGARDA DE BINGEN UN MENSAJE PARA NUESTRO TIEMPO,2004,SPECIAL COLLECTION,
231,282.092Ai98,"Fr. Jerome Aixala, S.J.",HIS HEART AND HIS SOCIETY,1956,SPIRITUALITY,
716,248.2Sa86,"Fr A Sauliere, S.J.",HIS STAR IN THE EAST,1995,SPIRITUALITY,
39,956.9T851,George A. Turner,Historical Geography of the Holy Land,1973,General Reference,
228,265.1R129,Karl Rahner,Holy Baptism,1970,THEOLOGY,
82,226.206N151,,Holy Bible,,BIBLICAL STUDIES,
128,220.520834H747,,Holy Bible : containing the old and new testaments,n.d.,BIBLICAL STUDIES,
196,262.142082Z131,Phyllis Zagano,HOLY SATURDAY : an argument for the restoration of the female diaconate in the catholic church,2000,THEOLOGY,
378,262.5En61,Joseph Enn S.J,HOLY SCRIPTURE AND THE SPIRITUAL EXERCISES : A collection  of passes from scripture for the central themes of the exercises,1963,SPIRITUALITY,
465,264.03H747 c.1,,"HOLY WEEK MISSAL. CHRIST HAS DIED, CHRIST HAS RISEN, CHRIST WILL COME AGAIN",n.d.,Filipiniana,
466,264.03H747 c.2,,"HOLY WEEK MISSAL. CHRIST HAS DIED, CHRIST HAS RISEN, CHRIST WILL COME AGAIN",n.d.,Filipiniana,
467,264.03H747 c.3,,"HOLY WEEK MISSAL. CHRIST HAS DIED, CHRIST HAS RISEN, CHRIST WILL COME AGAIN",n.d.,Filipiniana,
468,264.03H747 c.4,,"HOLY WEEK MISSAL. CHRIST HAS DIED, CHRIST HAS RISEN, CHRIST WILL COME AGAIN",n.d.,Filipiniana,
469,264.03H747 c.5,,"HOLY WEEK MISSAL. CHRIST HAS DIED, CHRIST HAS RISEN, CHRIST WILL COME AGAIN",n.d.,Filipiniana,
470,264.03H747 c.6,,"HOLY WEEK MISSAL. CHRIST HAS DIED, CHRIST HAS RISEN, CHRIST WILL COME AGAIN",n.d.,Filipiniana,
287,265.85T161h,FR.LARRY TAN SDB,"HOMEBOUND ""Preparation for death""", 2005/2011,Filipiniana,
494,248.3H757,,HONGKONG JOURNAL OF CATHOLIC STUDIES: Spiritual Exercises and Ignatian Spirituality Direction in Contemporary Times,2021,SPIRITUALITY,
220,234.2H224,Bernard Haring,Hope is the Remedy,1973,THEOLOGY,
30,821.8L243,Justus George Lawler,HOPKINS RE-CONSTRUCTED,2017,REFERENCE (Library 2),
82, 248.4L770,"DARÍO MOLLÀ LLÀCER, S.J.",HORIZONTES DE VIDA (VIVIR A LA IGNACIANA),2009,SPECIAL COLLECTION,
256,262.001H830,,How to be a missionary synodal Church INSTRUMENTUM LABORIS FOR THE SECOND SESSION (OCTOBER 2024),2024,Filipiniana,
753,248.4Ip1c.1,"Ignatuis Iparraguirre, S.J.",HOW TO GIVE A RETREAT : Practical notes,1959,SPIRITUALITY,
754,248.4Ip1c.2,"Ignatuis Iparraguirre, S.J.",HOW TO GIVE A RETREAT : Practical notes,1959,SPIRITUALITY,
425,248.3R679,Fr. John Roothaan,HOW TO MEDITATE,1945,SPIRITUALITY,
790,242R679,"Rev. Louis J. Puhl, S.J.",HOW TO MEDITATE BY FATHER JOHN ROOTHAAN,1945,SPIRITUALITY,
662,242R128,"Yves Raguin, S.J.",HOW TO PRAY TODAY : A book of spiritual reflection,1974,SPIRITUALITY,
196,227.N789,Marilyn Norquist,How to Read and Pray Saint Paul,1979,BIBLICAL STUDIES,
544,242.7N789,Marilyn Norquist,HOW TO READ AND PRAY THE GOSPELS,1978,SPIRITUALITY,
186,220.61C839,Harvey Cox,HOW TO READ THE BIBLE,2015,BIBLICAL STUDIES,
144,225.61C383,Etienne Charpentier,How to Read the New Testament,1981,BIBLICAL STUDIES,
65,220.07H830,,How to study bible,1973,BIBLICAL STUDIES,
10,158.2K221w,Kathleen Keating,HUG THERAPY 2 THE WONDERFUL LANGUAGE OF HUGS,1987,REFERENCE (Library 2),
89,720.924H873,,"HUGH NEWELL JACOBSEN, ARCHITECT",1988,GEN-REF2,
44,155.05H880v.12,,HUMAN DEVELOPMENT : The Jesuit Educational Center for Human Development vol .12,1991,PERIODICAL,
48,155.05H880,,HUMAN DEVELOPMENT : The Jesuit Educational Center for Human Development vol. 1 ,1981,PERIODICAL,
43,155.05H880v.10,,HUMAN DEVELOPMENT : The Jesuit Educational Center for Human Development vol. 10,1989,PERIODICAL,
49,155.05H880,,HUMAN DEVELOPMENT : The Jesuit Educational Center for Human Development vol. 2,1984,PERIODICAL,
50,155.05H880,,HUMAN DEVELOPMENT : The Jesuit Educational Center for Human Development vol. 3,1984,PERIODICAL,
51,155.05H880,,HUMAN DEVELOPMENT : The Jesuit Educational Center for Human Development vol. 4,1983,PERIODICAL,
52,155.05H880,,HUMAN DEVELOPMENT : The Jesuit Educational Center for Human Development vol. 5,1984,PERIODICAL,
56,155.05H880,,HUMAN DEVELOPMENT : The Jesuit Educational Center for Human Development vol.11,1990,PERIODICAL,
57,155.05H880,,HUMAN DEVELOPMENT : The Jesuit Educational Center for Human Development vol.13,1992,PERIODICAL,
46,155.05H880,,HUMAN DEVELOPMENT : The Jesuit Educational Center for Human Development vol.14,1993,PERIODICAL,
53,155.05H880,,HUMAN DEVELOPMENT : The Jesuit Educational Center for Human Development vol.15,1994,PERIODICAL,
47,155.05H880,,HUMAN DEVELOPMENT : The Jesuit Educational Center for Human Development vol.16,1995,PERIODICAL,
54,155.05H880,,HUMAN DEVELOPMENT : The Jesuit Educational Center for Human Development vol.17,1986,PERIODICAL,
45,155.05H880,,HUMAN DEVELOPMENT : The Jesuit Educational Center for Human Development vol.17,1996,PERIODICAL,
58,155.05H880,,HUMAN DEVELOPMENT : The Jesuit Educational Center for Human Development vol.18,1997,PERIODICAL,
41,155.05H880v.6,,HUMAN DEVELOPMENT : The Jesuit Educational Center for Human Development vol.6,1985,PERIODICAL,
55,155.05H880,,HUMAN DEVELOPMENT : The Jesuit Educational Center for Human Development vol.8,1987,PERIODICAL,
42,155.05H880v.9,,HUMAN DEVELOPMENT: The Jesuit Educational Center for Human Development vol. 9,1988,PERIODICAL,
74,241.63H880c.1,,HUMANAE VITAE : ENCYCLICAL OF HIS HOLINESS POPE PAUL VI ON THE REGULATION OF BIRTH,1968,PAPAL COLLECTION,
75,241.63H880c.2,,HUMANAE VITAE : ENCYCLICAL OF HIS HOLINESS POPE PAUL VI ON THE REGULATION OF BIRTH,1968,PAPAL COLLECTION,
593,248.92M363,Ralph Martin,HUNGRY FOR GOD:Practical help in personal prayer,1974,SPIRITUALITY,
384,226.206G945,"Nil Guillemette, S.J.",Hungry No More,1989,Filipiniana,
549,234.72G945,"NIL GUILLEMETTE, SJ",HUNGRY NO MORE : EXERGESIS AND REFLECTIONS,1989,Filipiniana,
85,264.2Am1,Sacred Heart Parish,I AM THE RESURRECTION AND THE LIFE,n.d.,Filipiniana,
