R.N,CALL NO.,AUTHOR,TITLE,COPY RIGHT,LOCATION,
172,230C738,,A Companion to John : Readings in Johannine Theology (John's Gospel and Epistles),1977,BIBLICAL STUDIES,
851,248.4Am189c.1,"Aloysius Ambruzzi, S.J.",A COMPANION TO THE SPIRITUAL EXERCISES OF SAINT IGNATIUS,1948,SPIRITUALITY,
852,248.4Am189c.2,"Aloysius Ambruzzi, S.J.",A COMPANION TO THE SPIRITUAL EXERCISES OF SAINT IGNATIUS,1948,SPIRITUALITY,
271,282.1H279,Adrian Hasting,A Concise Guide to the Documents of the Second Vatican Council,1969,THEOLOGY,
320,,,A constant invitation  : Meeting jesus the eucharist,1999,PERIODICAL,
839,248.4F629,"David L. Fleming, S.J.",A CONTEMPORARY OF THE SPIRITUAL EXERCISES,1976,SPIRITUALITY,
171,248.3F629c.1,"David L. Fleming, S.J.",A CONTEMPORARY READING OF THE SPIRITUAL EXERCISES,1978,SPIRITUALITY,
172,248.3F629c.2,"David L. Fleming, S.J.",A CONTEMPORARY READING OF THE SPIRITUAL EXERCISES,1976,SPIRITUALITY,
25,248.3F629,"David L. Fleming, S.J.",A CONTEMPORARY READING OF THE SPIRITUAL EXERCISES A COMPANION TO ST. IGNATIUS TEXT,1976,GEN-REF2,
582,248.34C788,,A COOPERATIVE STUDY OF THE SPIRITUAL EXERCISES OFR SAINT IGNATIUS,1961,SPIRITUALITY,
32,W721,Simon Winchester,A CRACK IN THE EDGE OF THE WORLD,2005,FICTION,
1,225.61H718,Carl R. Holladay,A CRITICAL INTRODUCTION TO THE NEW TESTAMENT : interpreting the message and meaning of Jesus Christ,2005,BIBLICAL STUDIES,
94,282.0924C868,Msgr. Leon Cristiani,A CROSS FOR NAPOLEON: THE LIFE OF FATHER BRUNO LANTERI (1759-1830),1981,SPIRITUALITY,
419,226.06B812,Raymond E. Brown,a CRUCIFIED CHRIST in HOLY WEEK :  essays on the four gospel passion narratives,1988,Filipiniana,
2,232.931At88,Donald Attwater,A Dictionary of Mary,1956,General Reference,
35,302.222303D561,,A DICTIONARY OF SYMBOLS,1962,GEN-REF2,
363,248.34F925c.1,"Rev. James S. Froley, S.J.",A DIRECTED THIRTY DAY'S RETREAT: SCRIPTURALLY ORIENTATED,,SPIRITUALITY,
364,248.34F925c.2,"Rev. James S. Froley, S.J.",A DIRECTED THIRTY DAY'S RETREAT: SCRIPTURALLY ORIENTATED,,SPIRITUALITY,
365,248.34F925c.3,"Rev. James S. Froley, S.J.",A DIRECTED THIRTY DAY'S RETREAT: SCRIPTURALLY ORIENTATED,,SPIRITUALITY,
,248.34F925c.4 - 5,"Rev. James S. Froley, S.J.",A DIRECTED THIRTY DAY'S RETREAT: SCRIPTURALLY ORIENTATED (number of copies 5),,SPIRITUALITY Library 2 (Duplicate copies),
42,242.3L991c.1,"Rev. Denis F. Lynch, S.J.",A DO-IT-YOURSELF RETREAT : how  to bring out the real good in you,1969,SPIRITUALITY,
43,242.3L991c.2,"Rev. Denis F. Lynch, S.J.",A DO-IT-YOURSELF RETREAT : how  to bring out the real good in you,1969,SPIRITUALITY,
